Name;Star;Ranking;Locality;Location;TCommentCount;TExcellentCount;TGoodCount;TNormalCount;TBadCount;TVeryBadCount;TFamilyCat;TCoupleCat;TSoloCat;TBusinessCat;
上海汉庭南京东路步行街店;;2,483;人民广场;31.23893,121.48415;38;7;21;7;1;2;0;2;0;0;
达灵宾馆;;;人民广场;,;;;;;;;;;;;
上海布丁外滩广东路店;;;人民广场;,;;;;;;;;;;;
上海年代秀时尚酒店外滩南京东路步行街店;;;人民广场;,;;;;;;;;;;;
亿隆宾馆;;;人民广场;,;;;;;;;;;;;
予舍家庭旅馆;;;人民广场;,;;;;;;;;;;;
裕德宾馆;;;外滩;,;;;;;;;;;;;
东方商旅;;14;外滩;31.231844,121.49284;1,172;865;236;48;12;11;146;459;99;216;
上海大酒店;;32;人民广场;31.235346,121.48127;814;481;272;36;13;9;121;203;37;197;
索菲特海仑宾馆;;58;人民广场;31.235546,121.4808;817;337;337;95;28;18;81;166;47;310;
曼哈顿金陵商务酒店;;234;人民广场;31.229612,121.48688;56;11;25;16;1;1;2;12;10;2;
上海锦江之星锦江南京饭店;;352;人民广场;31.237532,121.482254;301;28;158;84;20;11;9;28;23;17;
上海如家人民广场福州路上海书城店;;366;人民广场;31.23268,121.48122;39;5;15;14;3;2;0;0;1;1;
上海维也纳国际酒店虹桥枢纽曹安公路店 ;;453;;;31.23473,121.49359;3;0;3;0;0;0;2;1;0;0;
恒爱筑酒店;;1,062;外滩;,;1 ;;;;;;;;;;
上海如家南京路步行街店;;1,500;人民广场;31.236397,121.481186;3;0;0;3;0;0;0;2;0;0;
人民大酒店;;1,556;人民广场;,;7;6;0;1;0;0;0;0;0;0;
仕佳酒店;;1,602;外滩;31.24012,121.48712;54;4;20;21;4;5;2;4;2;0;
南鹤大酒店;;2,217;人民广场;,;1 ;;;;;;;;;;
群之缘宾馆;;2,230;人民广场;,;2;0;0;1;0;0;0;0;0;0;
上海都市假日酒店南京路店;;2,432;人民广场;,;7;0;4;1;1;1;0;0;0;1;
艾莎假日宾馆;;;人民广场;,;;;;;;;;;;;
上海银通宾馆南京路步行街店;;;人民广场;,;;;;;;;;;;;
唯艾时尚酒店;;;人民广场;,;;;;;;;;;;;
上海半岛酒店;;7;外滩;31.241257,121.48882;965;729;154;38;17;10;124;257;34;164;
斯沃琪和平饭店艺术中心酒店;;169;外滩;31.238743,121.489655;13;8;2;1;1;0;0;6;0;3;
曼哈顿外滩商务酒店;;292;外滩;31.23951,121.48821;294;51;132;75;15;21;18;38;45;29;
天赐酒店公寓;;349;人民广场;31.232248,121.48322;32;8;13;7;2;2;3;1;0;3;
锦江之星新城饭店;;395;人民广场;31.23704,121.48294;159;12;66;48;17;12;13;10;12;17;
上海莫泰168外滩店;;479;外滩;31.23965,121.48628;345;28;182;102;23;10;2;4;3;5;
上海汉庭南京东路步行街店;;2,483;人民广场;31.23893,121.48415;38;7;21;7;1;2;0;2;0;0;
达灵宾馆;;;人民广场;,;;;;;;;;;;;
上海布丁外滩广东路店;;;人民广场;,;;;;;;;;;;;
上海年代秀时尚酒店外滩南京东路步行街店;;;人民广场;,;;;;;;;;;;;
亿隆宾馆;;;人民广场;,;;;;;;;;;;;
予舍家庭旅馆;;;人民广场;,;;;;;;;;;;;
裕德宾馆;;;外滩;,;;;;;;;;;;;
东方商旅;;14;外滩;31.231844,121.49284;1,172;865;236;48;12;11;146;459;99;216;
上海大酒店;;32;人民广场;31.235346,121.48127;814;481;272;36;13;9;121;203;37;197;
索菲特海仑宾馆;;58;人民广场;31.235546,121.4808;817;337;337;95;28;18;81;166;47;310;
曼哈顿金陵商务酒店;;234;人民广场;31.229612,121.48688;56;11;25;16;1;1;2;12;10;2;
上海锦江之星锦江南京饭店;;352;人民广场;31.237532,121.482254;301;28;158;84;20;11;9;28;23;17;
上海如家人民广场福州路上海书城店;;366;人民广场;31.23268,121.48122;39;5;15;14;3;2;0;0;1;1;
上海维也纳国际酒店虹桥枢纽曹安公路店 ;;453;;;31.23473,121.49359;3;0;3;0;0;0;2;1;0;0;
恒爱筑酒店;;1,062;外滩;,;1 ;;;;;;;;;;
上海如家南京路步行街店;;1,500;人民广场;31.236397,121.481186;3;0;0;3;0;0;0;2;0;0;
人民大酒店;;1,556;人民广场;,;7;6;0;1;0;0;0;0;0;0;
