ForeignName;CCommentCount;CRecommendCommentCount;CNeedToImproveCommentCount;CScore;CPrice;COpenYear;RoomCount;
汉庭酒店（上海南京东路步行街店）;721;652;69;;;2010;88;
创业大酒店（上海外滩中心店）;9445;8859;586;;;2010;134;
布丁酒店（上海南京东路地铁站外滩店）（原外滩广东路店）;1451;1283;168;;;;;
年代秀时尚酒店（上海外滩南京东路步行街店）;949;859;90;;;2013;31;
上海旅途158旅馆;9;4;5;;;;;
上海宝安大酒店;7750;7429;321;;;2003;228;
;7750;7429;321;;;;;
上海外滩东方商旅酒店;2445;2401;44;;;2010;168;
上海外滩东方商旅酒店;2445;2401;44;;;2010;168;
;2445;2401;44;;;;;
上海大酒店;6271;6201;70;;;2009;353;
上海曼哈顿金陵酒店;3547;3368;179;;;2010;62;
上海曼哈顿金陵酒店;3547;3368;179;;;2010;62;
上海晓驻旅社;11;9;2;;;;;
如家快捷酒店（上海人民广场福州路上海书城店）;2240;2135;105;;;2012;120;
汉庭酒店（上海曹安公路封浜店）;160;148;12;;;2014;112;
上海仕佳酒店;2093;1909;184;;;2008;80;
如家快捷酒店（上海南京路步行街厦门路店);1890;1844;46;;;2013;83;
上海大酒店;6271;6201;70;;;2009;353;
上海仕佳酒店;2093;1909;184;;;2008;80;
上海宝安大酒店;7750;7429;321;;;2003;228;
群之缘宾馆（上海中原店）;66;61;5;;;2010;43;
如家快捷酒店(上海南京路步行街店);1558;1503;55;;;2011;55;
上海艾莎假日宾馆;131;120;11;;;2013;25;
如家快捷酒店（上海南京路步行街地铁站店）;890;833;57;;;2012;65;
;890;833;57;;;;;
上海唯艾时尚酒店;107;92;15;;;2012;54;
上海半岛酒店;3874;3834;40;;;2009;235;
上海曼哈顿（外滩）商务酒店;8889;8189;700;;;2004;160;
上海曼哈顿（外滩）商务酒店;8889;8189;700;;;2004;160;
上海天赐酒店公寓;444;400;44;;;2000;113;
锦江之星（上海临港新城店）;853;836;17;;;2007;100;
莫泰168（上海外滩四川北路七浦路店）;1309;1274;35;;;2014;116;
汉庭酒店（上海南京东路步行街店）;721;652;69;;;2010;88;
创业大酒店（上海外滩中心店）;9445;8859;586;;;2010;134;
布丁酒店（上海南京东路地铁站外滩店）（原外滩广东路店）;1451;1283;168;;;;;
年代秀时尚酒店（上海外滩南京东路步行街店）;949;859;90;;;2013;31;
上海旅途158旅馆;9;4;5;;;;;
上海宝安大酒店;7750;7429;321;;;2003;228;
上海徐家汇亚朵酒店;1180;1160;20;;;;;
上海外滩东方商旅酒店;2445;2401;44;;;2010;168;
上海大酒店;6271;6201;70;;;2009;353;
上海索菲特海仑宾馆;2605;2541;64;;;1993;383;
上海曼哈顿金陵酒店;3547;3368;179;;;2010;62;
上海晓驻旅社;11;9;2;;;;;
如家快捷酒店（上海人民广场福州路上海书城店）;2240;2135;105;;;2012;120;
汉庭酒店（上海曹安公路封浜店）;160;148;12;;;2014;112;
上海仕佳酒店;2093;1909;184;;;2008;80;
如家快捷酒店（上海南京路步行街厦门路店);1890;1844;46;;;2013;83;
;1890;1844;46;;;;;
上海大酒店;6271;6201;70;;;2009;353;
上海仕佳酒店;2093;1909;184;;;2008;80;
上海宝安大酒店;7750;7429;321;;;2003;228;
如家快捷酒店(上海南京路步行街店);1558;1503;55;;;2011;55;
如家快捷酒店(上海南京路步行街店);1558;1503;55;;;2011;55;
上海艾莎假日宾馆;131;120;11;;;2013;25;
如家快捷酒店（上海南京路步行街地铁站店）;890;833;57;;;2012;65;
上海唯艾时尚酒店;107;92;15;;;2012;54;
上海半岛酒店;3874;3834;40;;;2009;235;
上海王宝和大酒店;3622;3557;65;;;1999;313;
上海金外滩宾馆;5766;5508;258;;;2004;252;
上海兴宇大酒店;1491;1388;103;;;2009;192;
24K国际连锁酒店（上海南京东路步行街店）;6709;5963;746;;;2006;184;
如家快捷酒店（上海南京路步行街地铁站店）;890;833;57;;;2012;65;
布丁酒店（上海外滩滨江店）;1571;1323;248;;;2012;55;
如家快捷酒店（上海南京路步行街地铁站店）;890;833;57;;;2012;65;
上海宁和宾馆;15;11;4;;;;;
;15;11;4;;;;;
海友酒店（上海南京路步行街店）;240;186;54;;;2014;47;
上海中星君亭酒店;5322;5229;93;;;2010;165;
;5322;5229;93;;;;;
上海豫园万丽酒店;3664;3557;107;;;2007;340;
上海古象大酒店;5024;4867;157;;;2003;360;
锦江之星（上海外滩滨江店）;1745;1706;39;;;2011;121;
锦江之星（上海外滩滨江店）;1745;1706;39;;;2011;121;
;1745;1706;39;;;;;
上海七重天宾馆;981;915;66;;;1985;59;
上海中福大酒店;10821;10111;710;;;妈妈去旅行，特意选的离地铁近离景区进，此酒店位置绝佳，出门过一条街就是南京西路，买东西方便，胡同里有挺多小店可以买宵夜，离人民广场大约五分钟，这种地脚当然周围全是商场啊酒店的。这个酒店呢当;520;
上海中福大酒店;10821;10111;710;;;妈妈去旅行，特意选的离地铁近离景区进，此酒店位置绝佳，出门过一条街就是南京西路，买东西方便，胡同里有挺多小店可以买宵夜，离人民广场大约五分钟，这种地脚当然周围全是商场啊酒店的。这个酒店呢当;520;
上海豫园宜必思酒店;1893;1771;122;;;2010;124;
汉庭酒店（上海人民广场店）;2439;2329;110;;;2012;77;
汉庭酒店（上海四川中路店）;2172;2070;102;;;2013;84;
上海豪运大酒店;117;109;8;;;1995;30;
上海豪运大酒店;117;109;8;;;1995;30;
7天连锁酒店（上海南京路步行街二店）;18;15;3;;;2011;;
上海河滨缘精致酒店;167;149;18;;;2013;40;
上海凯恩宾馆;1697;1462;235;;;1994;110;
海友酒店（上海外滩北京东路店）（原北京东路店）;107;98;9;;;2015;50;
如家快捷酒店（上海外滩南京路步行街店）;1321;1272;49;;;2013;66;
上海世茂皇家艾美酒店;5189;5066;123;;;2006;761;
上海春申江宾馆;1403;1326;77;;;1989;73;
锦江之星品尚（上海南京路步行街店）;3630;3514;116;;;1917;220;
;3630;3514;116;;;;;
上海蓝山外滩源青年旅舍（原南林青年酒店）;1610;1459;151;;;2008;28;
上海海之星假日酒店;616;583;33;;;2001;80;
上海湖滨假日酒店;1067;978;89;;;2006;70;
上海大众空港宾馆;31917;30424;1493;;;2008;712;
上海南京东路和颐酒店;7938;7838;100;;;2014;136;
汉庭酒店（上海外滩金陵东路店）;809;771;38;;;2012;80;
上海新黄浦酒店公寓;1765;1658;107;;;1998;250;
上海灵达时尚宾馆;29;28;1;;;2013;21;
上海灵达时尚宾馆;29;28;1;;;2013;21;
上海宏泉艾瑞酒店;1346;1311;35;;;2012;29;
上海南新雅大酒店;5739;5373;366;;;1999;387;
上海黄浦饭店;832;806;26;;;1970;30;
;832;806;26;;;;;
上海宝安大酒店;7750;7429;321;;;2003;228;
7天连锁酒店（上海南京路步行街店）;;;;;;2010;100;
;1773;1481;292;;;;;
;;;;;;;;
上海海上星喔豪都大酒店;;;;;;2008;193;
;1167;1119;48;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
百时快捷酒店（上海人民广场淮海东路店）;254;246;8;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
